problem,algorithm,input_size,trial,time_ns
duplicate,naive,1000,1,1998333
duplicate,efficient,1000,1,188500
duplicate,naive,1000,2,2098334
duplicate,efficient,1000,2,199000
duplicate,naive,1000,3,2158750
duplicate,efficient,1000,3,195459
duplicate,naive,1000,4,1991791
duplicate,efficient,1000,4,181292
duplicate,naive,1000,5,1994083
duplicate,efficient,1000,5,189750
duplicate,naive,10000,1,206379666
duplicate,efficient,10000,1,1865959
duplicate,naive,10000,2,196678375
duplicate,efficient,10000,2,1921833
duplicate,naive,10000,3,205287291
duplicate,efficient,10000,3,1874041
duplicate,naive,10000,4,211818500
duplicate,efficient,10000,4,1732125
duplicate,naive,10000,5,205944709
duplicate,efficient,10000,5,1867959
duplicate,naive,100000,1,20401176042
duplicate,efficient,100000,1,18449000
duplicate,naive,100000,2,20448372084
duplicate,efficient,100000,2,18014958
duplicate,naive,100000,3,20490530000
duplicate,efficient,100000,3,18138250
duplicate,naive,100000,4,20471684291
duplicate,efficient,100000,4,18226791
duplicate,naive,100000,5,20560731625
duplicate,efficient,100000,5,18100583
frequency,naive,1000,1,3562417
frequency,efficient,1000,1,73792
frequency,naive,1000,2,3550542
frequency,efficient,1000,2,69292
frequency,naive,1000,3,3552792
frequency,efficient,1000,3,68542
frequency,naive,1000,4,3551041
frequency,efficient,1000,4,68584
frequency,naive,1000,5,3556167
frequency,efficient,1000,5,68208
frequency,naive,10000,1,352528417
frequency,efficient,10000,1,660833
frequency,naive,10000,2,352905209
frequency,efficient,10000,2,644458
frequency,naive,10000,3,352768583
frequency,efficient,10000,3,644375
frequency,naive,10000,4,328966167
frequency,efficient,10000,4,606500
frequency,naive,10000,5,328208375
frequency,efficient,10000,5,606375
frequency,naive,100000,1,34697087708
frequency,efficient,100000,1,6438000
frequency,naive,100000,2,34563264709
frequency,efficient,100000,2,6442375
frequency,naive,100000,3,34545166375
frequency,efficient,100000,3,6019042
frequency,naive,100000,4,34534865833
frequency,efficient,100000,4,6040417
frequency,naive,100000,5,34613644125
frequency,efficient,100000,5,6035500
common,naive,1000,1,173792
common,efficient,1000,1,133917
common,naive,1000,2,172666
common,efficient,1000,2,128208
common,naive,1000,3,172041
common,efficient,1000,3,126334
common,naive,1000,4,174750
common,efficient,1000,4,129125
common,naive,1000,5,171875
common,efficient,1000,5,135708
common,naive,10000,1,1697750
common,efficient,10000,1,1189208
common,naive,10000,2,1704750
common,efficient,10000,2,1176417
common,naive,10000,3,1697250
common,efficient,10000,3,1185458
common,naive,10000,4,1696625
common,efficient,10000,4,1176250
common,naive,10000,5,1696708
common,efficient,10000,5,1179458
common,naive,100000,1,16966333
common,efficient,100000,1,11626125
common,naive,100000,2,16957041
common,efficient,100000,2,11595500
common,naive,100000,3,16952792
common,efficient,100000,3,11593750
common,naive,100000,4,16998250
common,efficient,100000,4,11657875
common,naive,100000,5,16943708
common,efficient,100000,5,11630750
